 R=[100.0, 28.0, 11.0, 9.6, 8.79]
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
  21   2   -529.46905499      0.47808517   104927.57      0.47808872   104928.35     13.0095
  22   2   -529.46890600      0.47823416   104960.27      0.47823771   104961.04     13.0135
  23   2   -529.46464652      0.48249365   105895.11      0.48249720   105895.89     13.1294
  24   2   -529.46440819      0.48273197   105947.42      0.48273552   105948.20     13.1359
  25   2   -529.46346199      0.48367817   106155.09      0.48368172   106155.87     13.1616
 
  26   3   -529.52475060      0.42238957    92703.79      0.42239312    92704.57     11.4939
  27   3   -529.52245707      0.42468309    93207.16      0.42468664    93207.94     11.5563
  28   3   -529.51610066      0.43103950    94602.24      0.43104305    94603.02     11.7293
  29   3   -529.47780943      0.46933073   103006.19      0.46933429   103006.97     12.7712
  30   3   -529.47160442      0.47553574   104368.03      0.47553930   104368.81     12.9401
  31   3   -529.47158465      0.47555551   104372.37      0.47555907   104373.15     12.9406
  32   3   -529.47118525      0.47595491   104460.03      0.47595846   104460.81     12.9515
  33   3   -529.46905499      0.47808518   104927.57      0.47808873   104928.35     13.0095
  34   3   -529.46890601      0.47823415   104960.26      0.47823770   104961.04     13.0135
  35   3   -529.46464653      0.48249363   105895.11      0.48249718   105895.89     13.1294
  36   3   -529.46440818      0.48273198   105947.42      0.48273553   105948.20     13.1359
  37   3   -529.46346199      0.48367817   106155.09      0.48368172   106155.87     13.1616
 
  38   4   -529.52476831      0.42237185    92699.91      0.42237540    92700.68     11.4934
  39   4   -529.52474456      0.42239560    92705.12      0.42239915    92705.90     11.4941
  40   4   -529.51881144      0.42832872    94007.29      0.42833227    94008.07     11.6555
  41   4   -529.47780943      0.46933073   103006.19      0.46933428   103006.97     12.7712
  42   4   -529.47160180      0.47553836   104368.61      0.47554191   104369.39     12.9402
  43   4   -529.47159966      0.47554050   104369.08      0.47554405   104369.86     12.9402
  44   4   -529.47117288      0.47596728   104462.74      0.47597083   104463.52     12.9518
  45   4   -529.46905084      0.47808932   104928.48      0.47809287   104929.26     13.0096
  46   4   -529.46890786      0.47823230   104959.86      0.47823585   104960.64     13.0135
  47   4   -529.46465172      0.48248844   105893.97      0.48249199   105894.75     13.1293
  48   4   -529.46440109      0.48273907   105948.98      0.48274262   105949.76     13.1361
  49   4   -529.46345842      0.48368174   106155.87      0.48368529   106156.65     13.1617

--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -527.04425408     -0.00000354       -0.78      0.00000000        0.00      0.0000
   2   1   -526.62169391      0.42255664    92740.46      0.42256018    92741.24     11.4984
   3   1   -526.61941336      0.42483719    93240.98      0.42484072    93241.76     11.5605
   4   1   -526.61308150      0.43116905    94630.67      0.43117258    94631.44     11.7328
   5   1   -526.56850337      0.47574718   104414.44      0.47575071   104415.21     12.9458
   6   1   -526.56810919      0.47614136   104500.95      0.47614490   104501.73     12.9566
   7   1   -526.56810040      0.47615015   104502.88      0.47615369   104503.65     12.9568
   8   1   -526.56581883      0.47843172   105003.63      0.47843526   105004.40     13.0189
   9   1   -526.56581135      0.47843919   105005.27      0.47844273   105006.04     13.0191
  10   1   -526.56169421      0.48255634   105908.87      0.48255988   105909.65     13.1311
  11   1   -526.56132379      0.48292676   105990.17      0.48293030   105990.95     13.1412
  12   1   -526.56131853      0.48293202   105991.33      0.48293556   105992.10     13.1413
  13   1   -526.54954237      0.49470818   108575.90      0.49471172   108576.67     13.4618
 
  14   2   -526.62167583      0.42257472    92744.43      0.42257825    92745.21     11.4989
  15   2   -526.61938397      0.42486658    93247.44      0.42487012    93248.21     11.5613
  16   2   -526.61303129      0.43121925    94641.69      0.43122279    94642.46     11.7342
  17   2   -526.57473146      0.46951909   103047.53      0.46952262   103048.30     12.7764
  18   2   -526.56849568      0.47575486   104416.12      0.47575840   104416.90     12.9460
  19   2   -526.56847592      0.47577463   104420.46      0.47577817   104421.24     12.9466
  20   2   -526.56807698      0.47617357   104508.02      0.47617711   104508.79     12.9574
  21   2   -526.56594790      0.47830264   104975.30      0.47830618   104976.07     13.0154
  22   2   -526.56579960      0.47845094   105007.84      0.47845448   105008.62     13.0194
  23   2   -526.56154128      0.48270927   105942.44      0.48271280   105943.21     13.1353
  24   2   -526.56130426      0.48294628   105994.46      0.48294982   105995.23     13.1417
  25   2   -526.56035972      0.48389082   106201.76      0.48389436   106202.54     13.1674
 
  26   3   -526.62167587      0.42257468    92744.42      0.42257822    92745.20     11.4989
  27   3   -526.61938392      0.42486663    93247.45      0.42487017    93248.22     11.5613
  28   3   -526.61303131      0.43121924    94641.68      0.43122278    94642.46     11.7342
  29   3   -526.57473146      0.46951908   103047.53      0.46952262   103048.30     12.7764
  30   3   -526.56849570      0.47575484   104416.12      0.47575838   104416.90     12.9460
  31   3   -526.56847593      0.47577462   104420.46      0.47577816   104421.24     12.9466
  32   3   -526.56807694      0.47617360   104508.03      0.47617714   104508.80     12.9574
  33   3   -526.56594790      0.47830265   104975.30      0.47830619   104976.07     13.0154
  34   3   -526.56579961      0.47845094   105007.84      0.47845448   105008.62     13.0194
